実質原系列(前年同期比),,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:％),,,,
"Real, Original Series (Year-over-Year Percent Change)",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(%),,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,純受取,受取,支払,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,Net,Receipt,Payment,,,,,,,,,,,,,
10-12.,1.5 ,1.1 ,1.0 ,1.0 ,-1.2 ,3.2 ,***,0.3 ,-5.3 ,***,***,7.2 ,2.9 ,,***,1.0 ,***,19.7 ,37.8 ,1.2 ,,0.8 ,1.4 ,-1.1 ,,0.5 ,,1.5 ,,,,
2007/ 1- 3.,2.2 ,0.7 ,0.7 ,0.6 ,-1.4 ,4.5 ,***,1.0 ,-7.7 ,***,***,7.4 ,2.3 ,,***,2.0 ,***,20.5 ,25.1 ,2.5 ,,1.4 ,2.3 ,-1.4 ,,0.9 ,,1.6 ,,,,
4- 6.,1.8 ,1.2 ,1.3 ,1.3 ,-3.4 ,1.2 ,***,1.5 ,-7.2 ,***,***,7.9 ,2.3 ,,***,1.4 ,***,20.9 ,14.8 ,1.9 ,,0.9 ,1.2 ,-0.0 ,,-1.1 ,,1.6 ,,,,
7- 9.,1.4 ,1.2 ,1.2 ,1.2 ,-11.7 ,-0.6 ,***,1.3 ,-3.2 ,***,***,8.9 ,1.6 ,,***,1.0 ,***,16.9 ,39.6 ,1.3 ,,0.3 ,0.2 ,0.3 ,,-3.1 ,,1.3 ,,,,
10-12.,0.6 ,-0.1 ,-0.0 ,-0.3 ,-20.8 ,-2.0 ,***,2.2 ,-2.7 ,***,***,10.5 ,2.9 ,,***,-0.6 ,***,11.0 ,14.6 ,-0.4 ,,-0.7 ,-1.2 ,1.2 ,,-5.4 ,,0.2 ,,,,
2008/ 1- 3.,0.4 ,0.3 ,0.3 ,0.2 ,-16.7 ,-1.2 ,***,1.6 ,-4.2 ,***,***,10.6 ,3.3 ,,***,-1.2 ,***,-2.3 ,-12.1 ,-1.1 ,,-0.8 ,-1.2 ,0.3 ,,-4.2 ,,0.5 ,,,,
4- 6.,-0.4 ,-1.7 ,-1.7 ,-2.2 ,-12.4 ,-2.3 ,***,-0.6 ,-5.1 ,***,***,5.9 ,-1.2 ,,***,-2.5 ,***,-18.2 ,-3.0 ,-3.1 ,,-1.6 ,-1.6 ,-1.6 ,,-4.6 ,,-1.0 ,,,,
7- 9.,-1.0 ,-0.7 ,-0.7 ,-1.1 ,-2.5 ,-2.8 ,***,-0.5 ,-4.0 ,***,***,3.7 ,0.3 ,,***,-3.4 ,***,-16.7 ,-32.4 ,-3.7 ,,-1.6 ,-1.7 ,-1.3 ,,-3.0 ,,-0.6 ,,,,
10-12.,-3.9 ,-2.5 ,-2.5 ,-3.2 ,9.0 ,-5.5 ,***,-0.8 ,-6.4 ,***,***,-12.4 ,0.6 ,,***,-3.9 ,***,-27.8 ,-25.8 ,-4.4 ,,-1.6 ,-1.5 ,-2.1 ,,-3.5 ,,-4.7 ,,,,
2009/ 1- 3.,-9.0 ,-3.7 ,-3.8 ,-4.8 ,-3.0 ,-11.7 ,***,-0.5 ,-1.7 ,***,***,-35.9 ,-16.8 ,,***,-7.7 ,***,-28.7 ,-27.1 ,-8.4 ,,-5.5 ,-7.0 ,-0.9 ,,-8.5 ,,-7.8 ,,,,
